participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.payoff1,player.points,player.first_income,player.payoffin,player.send_proxy,player.easy,player.comments,player.age,player.gender,player.edu,group.id_in_subsession,group.sent,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vweryeyw,,0,0,115,,,,0,,,0.0,6,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,4,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,5,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,2,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,8,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,1,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,3,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,7,,0.0,,,,,,,,,,,1,,1,07z21pup,,,,,1
1,9lysuc4z,60dbe1ade399352be04a652d,0,114,115,dictator,submission_prolific,2022-01-30 20:40:28.840714,1,,,0.0,1,,0.0,10,,,,,4,,48,Female,Professional degree,2,0,1,u1vjsq99,,,,,0
2,epz9qpw2,61001400237f51c3662bd5b4,0,114,115,dictator,submission_prolific,2022-01-30 20:40:39.892636,1,,,0.0,2,,0.0,0,,,,5,3,,26,Female,Professional degree,2,0,1,u1vjsq99,,,,,0
3,yyyq9rfa,5d0ed8b577178a00019f74b3,0,114,115,dictator,submission_prolific,2022-01-30 20:42:04.690406,1,,,0.0,1,,0.0,5,,,,,4,,29,Female,Some College,5,5,1,u1vjsq99,,,,,0
4,d7xnp6t5,611884342da45986deaa204f,0,114,115,dictator,submission_prolific,2022-01-30 20:42:18.059383,1,,,0.0,1,,0.0,6,,,,,4,,20,Female,High school graduate,3,4,1,u1vjsq99,,,,,0
5,u2dd80fq,60fdec362993efac7a618dfd,0,114,115,dictator,submission_prolific,2022-01-30 20:42:20.631104,1,,,0.0,2,,0.0,4,,,,4,5,,18,Female,High school graduate,3,4,1,u1vjsq99,,,,,0
6,mezy12y5,5dd8da70fef7c2880a12500d,0,114,115,dictator,submission_prolific,2022-01-30 20:42:30.130592,1,,,0.0,1,,0.0,10,,,,,4,none,34,Male,4 Years Degree,4,0,1,u1vjsq99,,,,,0
7,fmuz0364,5f21d6bc44cf1215fed5e534,0,114,115,dictator,submission_prolific,2022-01-30 20:42:58.116670,1,,,0.0,2,,0.0,0,,,,6,4,,23,Female,4 Years Degree,4,0,1,u1vjsq99,,,,,0
8,7i1od4t4,60fda965a6b7be7629d0be00,0,114,115,dictator,submission_prolific,2022-01-30 20:44:52.001016,1,,,0.0,2,,0.0,5,,,,5,5,,18,Female,Some College,5,5,1,u1vjsq99,,,,,0
9,melllt1p,614df85d8603811e25e84d17,0,114,115,dictator,submission_prolific,2022-01-30 20:47:27.090979,1,,,0.0,1,,0.0,5,,,,,3,,54,Female,Some College,6,5,1,u1vjsq99,,,,,0
10,23djgpyb,5df5b73cd52c7b4021e0d0b6,0,114,115,dictator,submission_prolific,2022-01-30 20:47:35.325489,1,,,0.0,1,,0.0,5,,,,,4,No,39,Female,4 Years Degree,7,5,1,u1vjsq99,,,,,0
11,syc2p64f,5ec37264194de71cb7b82637,0,114,115,dictator,submission_prolific,2022-01-30 20:49:51.677477,1,,,0.0,1,,0.0,6,,,,,3,,20,Female,High school graduate,42,4,1,u1vjsq99,,,,,0
12,f7wqi71j,60ceac2e9edfbb89436f4867,0,114,115,dictator,submission_prolific,2022-01-30 20:50:27.972537,1,,,0.0,2,,0.0,5,,,,5,5,Interesting study,20,Female,4 Years Degree,7,5,1,u1vjsq99,,,,,0
13,xizqn3yh,6151d7e5e542dc73b5eaf5db,0,114,115,dictator,submission_prolific,2022-01-30 20:50:46.792181,1,,,0.0,1,,0.0,5,,,,,4,,25,Female,4 Years Degree,8,5,1,u1vjsq99,,,,,0
14,a73utlnu,60ff82acec6d7fc4c4a08769,0,114,115,dictator,submission_prolific,2022-01-30 20:51:09.795998,1,,,0.0,2,,0.0,5,,,,5,5,no,21,Female,High school graduate,6,5,1,u1vjsq99,,,,,0
15,rt8f0vwk,60fe2062f9a27921e0cf4211,0,114,115,dictator,submission_prolific,2022-01-30 20:52:32.270000,1,,,0.0,2,,0.0,5,,,,4,4,,21,Female,High school graduate,8,5,1,u1vjsq99,,,,,0
16,qxuiafjt,60fdbda119f6fbee6e8116a6,0,114,115,dictator,submission_prolific,2022-01-30 20:53:04.037556,1,,,0.0,1,,0.0,5,,,,,3,,21,Female,4 Years Degree,9,5,1,u1vjsq99,,,,,0
17,8ulgl0uw,60fdd47cb6da7411e888e23c,0,114,115,dictator,submission_prolific,2022-01-30 20:53:31.161507,1,,,0.0,2,,0.0,5,,,,1,3,,23,Female,4 Years Degree,9,5,1,u1vjsq99,,,,,0
18,n0y8c438,5d9bdc6ff7bd5b001547ec77,0,114,115,dictator,submission_prolific,2022-01-30 20:54:22.328542,1,,,0.0,1,,0.0,5,,,,,5,NA,25,Female,4 Years Degree,10,5,1,u1vjsq99,,,,,0
19,5esw5c85,60fccf14ec98489192e54358,0,114,115,dictator,submission_prolific,2022-01-30 20:55:52.086403,1,,,0.0,1,,0.0,6,,,,,4,,19,Female,Some College,11,4,1,u1vjsq99,,,,,0
20,wxuk38yg,5b2914d57f78160001466c01,0,114,115,dictator,submission_prolific,2022-01-30 20:56:17.155890,1,,,0.0,2,,0.0,5,,,,5,4,,23,Male,4 Years Degree,10,5,1,u1vjsq99,,,,,0
21,hhie4d2n,614f7e1c941fd499dd553fd1,0,114,115,dictator,submission_prolific,2022-01-30 20:56:46.088334,1,,,0.0,1,,0.0,5,,,,,5,,47,Male,Some College,12,5,1,u1vjsq99,,,,,0
22,agkskiev,5c994ca30225a000167bd288,0,114,115,dictator,submission_prolific,2022-01-30 20:57:26.242572,1,,,0.0,2,,0.0,4,,,,4,4,,22,Other,4 Years Degree,11,4,1,u1vjsq99,,,,,0
23,iokliuq0,60c8f631c054dc9a3315855e,0,114,115,dictator,submission_prolific,2022-01-30 20:57:40.600189,1,,,0.0,2,,0.0,5,,,,5,5,"I think it was actually an intriguing study, and I would like to know what the findings are.",23,Male,4 Years Degree,12,5,1,u1vjsq99,,,,,0
24,w7qzdzrc,5e16bce18dffa0c6f76cda9b,0,114,115,dictator,submission_prolific,2022-01-30 20:57:44.506011,1,,,0.0,1,,0.0,9,,,,,3,,31,Female,4 Years Degree,13,1,1,u1vjsq99,,,,,0
25,ky25tq54,6117c7ca13e573569166d127,0,114,115,dictator,submission_prolific,2022-01-30 20:59:24.047153,1,,,0.0,1,,0.0,5,,,,,5,,19,Female,Some College,14,5,1,u1vjsq99,,,,,0
26,nmgevc7l,58c84d506d1c600001a09319,0,64,115,exclusion_control,Introduction,2022-01-30 20:59:38.184197,1,,,0.0,30,,0.0,,,,,,,,,,,1,,1,u1vjsq99,,,,,0
27,8c2hd8vp,5d6420263e95f50001053ce4,0,114,115,dictator,submission_prolific,2022-01-30 20:59:42.040083,1,,,0.0,2,,0.0,1,,,,5,5,,32,Female,4 Years Degree,13,1,1,u1vjsq99,,,,,0
28,bhpvbdso,610351a3f6c1b632de5d0040,0,114,115,dictator,submission_prolific,2022-01-30 21:00:01.619296,1,,,0.0,2,,0.0,5,,,,5,5,,27,Female,4 Years Degree,14,5,1,u1vjsq99,,,,,0
29,i47gbl7g,60a2fae17fe95f27ca52e424,0,114,115,dictator,submission_prolific,2022-01-30 21:01:17.989138,1,,,0.0,1,,0.0,7,,,,,3,,20,Female,Some College,17,3,1,u1vjsq99,,,,,0
30,ypvd7rfb,60f739a02be80f8a9108ae3d,0,114,115,dictator,submission_prolific,2022-01-30 21:02:00.874602,1,,,0.0,1,,0.0,6,,,,,4,,20,Female,Less than high school,16,4,1,u1vjsq99,,,,,0
31,ico5xmz8,5f7d22898f1f7e1fa9dda650,0,114,115,dictator,submission_prolific,2022-01-30 21:02:02.305047,1,,,0.0,1,,0.0,5,,,,,4,,23,Female,Some College,15,5,1,u1vjsq99,,,,,0
32,9hirz5nn,5d8a9a4e3ff02d00016fafca,0,114,115,dictator,submission_prolific,2022-01-30 21:02:02.507998,1,,,0.0,2,,0.0,4,,,,5,3,,33,Female,Professional degree,16,4,1,u1vjsq99,,,,,0
33,wiji112g,615cf2d3e9dfb81e7ef3668d,0,114,115,dictator,submission_prolific,2022-01-30 21:02:43.498244,1,,,0.0,1,,0.0,5,,,,,4,,22,Female,4 Years Degree,20,5,1,u1vjsq99,,,,,0
34,p8uuggma,60fd99351090788eaebbda7b,0,114,115,dictator,submission_prolific,2022-01-30 21:02:46.489968,1,,,0.0,2,,0.0,5,,,,5,5,No,28,Female,Doctorate,15,5,1,u1vjsq99,,,,,0
35,ab0iqp0s,606efc02131bf097def132a2,0,114,115,dictator,submission_prolific,2022-01-30 21:03:11.668359,1,,,0.0,1,,0.0,8,,,,,3,,27,Female,4 Years Degree,24,2,1,u1vjsq99,,,,,0
36,24q885p6,5f39a97fb9eddd145dff233e,0,114,115,dictator,submission_prolific,2022-01-30 21:03:27.124438,1,,,0.0,1,,0.0,6,,,,,4,The time limit was a little nerve-wracking.,26,Male,Professional degree,18,4,1,u1vjsq99,,,,,0
37,acrmfao8,611f4f5b19a39508269149c5,0,114,115,dictator,submission_prolific,2022-01-30 21:03:34.478133,1,,,0.0,1,,0.0,6,,,,,4,,18,Other,Some College,19,4,1,u1vjsq99,,,,,0
38,iw6bby1r,5ee0554d395f86389a14cc39,0,106,115,exclusion_control,survey,2022-01-30 21:03:57.362815,1,,,0.0,79,,0.0,,,,,,,,,,,1,,1,u1vjsq99,,,,,0
39,1g8lm84h,5ee9b7270e94f636a8e81ee4,0,114,115,dictator,submission_prolific,2022-01-30 21:03:58.594124,1,,,0.0,2,,0.0,4,,,,5,4,,19,Male,Some College,19,4,1,u1vjsq99,,,,,0
40,6pndzv7k,61089eb2f125d1eedafeae42,0,114,115,dictator,submission_prolific,2022-01-30 21:04:07.393315,1,,,0.0,2,,0.0,3,,,,3,5,,19,Female,High school graduate,17,3,1,u1vjsq99,,,,,0
41,qizyrx00,6025b3681ff1521a3369dffe,0,114,115,dictator,submission_prolific,2022-01-30 21:04:11.617731,1,,,0.0,1,,0.0,5,,,,,5,no,20,Female,Some College,23,5,1,u1vjsq99,,,,,0
42,9kz5zb56,60185baa7d10160c486bc4bc,0,114,115,dictator,submission_prolific,2022-01-30 21:04:23.245334,1,,,0.0,1,,0.0,6,,,,,4,,23,Female,4 Years Degree,25,4,1,u1vjsq99,,,,,0
43,nntmbm4a,60fedfc700906f110c81310e,0,114,115,dictator,submission_prolific,2022-01-30 21:04:29.617268,1,,,0.0,1,,0.0,10,,,,,4,,23,Female,Professional degree,26,0,1,u1vjsq99,,,,,0
44,p1d1mawj,6107272874f58769a86a21b9,0,114,115,dictator,submission_prolific,2022-01-30 21:04:35.129783,1,,,0.0,1,,0.0,5,,,,,5,NO,50,Female,High school graduate,37,5,1,u1vjsq99,,,,,0
45,u6onetpa,5da7aeeaf1f30c001892ffc9,0,114,115,dictator,submission_prolific,2022-01-30 21:04:43.821785,1,,,0.0,2,,0.0,4,,,,5,3,,30,Male,4 Years Degree,25,4,1,u1vjsq99,,,,,0
46,yoqhaowc,5fc50c78a62b160ac5f58e2e,0,114,115,dictator,submission_prolific,2022-01-30 21:04:54.819414,1,,,0.0,2,,0.0,2,,,,5,3,no,29,Male,Some College,24,2,1,u1vjsq99,,,,,0
47,w4p9oxdq,5f6a24cc0d27e008cb1b8488,0,114,115,dictator,submission_prolific,2022-01-30 21:04:57.632337,1,,,0.0,2,,0.0,5,,,,5,4,,27,Male,2 Years Degree,20,5,1,u1vjsq99,,,,,0
48,vr2wu4ak,60abe580aa82f25a7acc9800,0,114,115,dictator,submission_prolific,2022-01-30 21:05:03.891987,1,,,0.0,2,,0.0,5,,,,5,3,none,34,Female,2 Years Degree,23,5,1,u1vjsq99,,,,,0
49,4qzz5opi,606ea77c23c62ce664b759f1,0,114,115,dictator,submission_prolific,2022-01-30 21:05:08.551911,1,,,0.0,2,,0.0,4,,,,5,3,None,29,Female,Some College,18,4,1,u1vjsq99,,,,,0
50,jjgoelsd,5e93f4e38099ec730377b072,0,114,115,dictator,submission_prolific,2022-01-30 21:05:38.505915,1,,,0.0,1,,0.0,5,,,,,1,na,31,Male,Professional degree,22,5,1,u1vjsq99,,,,,0
51,vhyxeouy,5ba7a90d168e5e0001e47228,0,114,115,dictator,submission_prolific,2022-01-30 21:05:40.439104,1,,,0.0,2,,0.0,5,,,,5,4,,20,Male,Some College,22,5,1,u1vjsq99,,,,,0
52,y04kk1i9,5f13c80de764c617c6b83856,0,114,115,dictator,submission_prolific,2022-01-30 21:05:52.858017,1,,,0.0,1,,0.0,8,,,,,4,,21,Female,2 Years Degree,21,2,1,u1vjsq99,,,,,0
53,dn9g8561,60b7febe7ed0e65ddeed0dde,0,114,115,dictator,submission_prolific,2022-01-30 21:06:58.999362,1,,,0.0,1,,0.0,5,,,,,5,,21,Female,Some College,27,5,1,u1vjsq99,,,,,0
54,o5g83z4h,610168bb050449e6d6d4bfbe,0,114,115,dictator,submission_prolific,2022-01-30 21:07:03.662519,1,,,0.0,2,,0.0,2,,,,4,3,,22,Female,2 Years Degree,21,2,1,u1vjsq99,,,,,0
55,vk64mh6i,610118f905527bf7e57e1848,0,2,115,start_cont,effort,2022-01-30 21:07:04.083737,1,,,0.0,92,,0.0,,,,,,,,,,,1,,1,u1vjsq99,,,,,0
56,9wks802s,61003e522bc23b7b3f65a8c0,0,114,115,dictator,submission_prolific,2022-01-30 21:07:08.232841,1,,,0.0,1,,0.0,8,,,,,5,Nope.,18,Male,High school graduate,28,2,1,u1vjsq99,,,,,0
57,5lodgxve,616376b5ff2429e422b69961,0,114,115,dictator,submission_prolific,2022-01-30 21:07:23.858768,1,,,0.0,2,,0.0,0,,,,5,3,,26,Female,4 Years Degree,26,0,1,u1vjsq99,,,,,0
58,jiqlx9z2,5aad226f811b2000016f6be2,0,114,115,dictator,submission_prolific,2022-01-30 21:08:26.316349,1,,,0.0,2,,0.0,5,,,,5,4,No,42,Male,Some College,27,5,1,u1vjsq99,,,,,0
59,o9u77r5x,5d7bb9a6cf0ed10017ec4de4,0,114,115,dictator,submission_prolific,2022-01-30 21:08:37.424521,1,,,0.0,2,,0.0,2,,,,5,5,"Stage 1 required me to tab/click on the input box each time, which was annoying.",28,Male,2 Years Degree,28,2,1,u1vjsq99,,,,,0
60,xenj5ph4,5eac911e8fdf2d3021221f6a,0,114,115,dictator,submission_prolific,2022-01-30 21:08:39.337452,1,,,0.0,1,,0.0,5,,,,,4,,21,Male,Some College,29,5,1,u1vjsq99,,,,,0
61,dm69x4rr,60e876e5d3a43d48cabc5bbf,0,114,115,dictator,submission_prolific,2022-01-30 21:09:37.636787,1,,,0.0,1,,0.0,5,,,,,5,,22,Male,4 Years Degree,30,5,1,u1vjsq99,,,,,0
62,f1oc3yvg,617232a11d494debdf0fd605,0,114,115,dictator,submission_prolific,2022-01-30 21:10:17.608068,1,,,0.0,2,,0.0,5,,,,0,4,No,63,Male,Less than high school,37,5,1,u1vjsq99,,,,,0
63,xu82j2wi,60ff0a524ac69866d65d2c3d,0,114,115,dictator,submission_prolific,2022-01-30 21:10:31.849648,1,,,0.0,1,,0.0,5,,,,,4,,21,Female,Some College,40,5,1,u1vjsq99,,,,,0
64,5cvtkvvu,612cee0c062a190674f1307f,0,114,115,dictator,submission_prolific,2022-01-30 21:10:42.398743,1,,,0.0,1,,0.0,6,,,,,4,,22,Female,4 Years Degree,36,4,1,u1vjsq99,,,,,0
65,395rw8i6,61242a20817c1d12dfe8ab12,0,114,115,dictator,submission_prolific,2022-01-30 21:11:16.535797,1,,,0.0,2,,0.0,5,,,,10,4,,33,Male,Some College,30,5,1,u1vjsq99,,,,,0
66,5mzktntr,5fecc1aaadaa09e9d38a3cb0,0,114,115,dictator,submission_prolific,2022-01-30 21:11:19.568707,1,,,0.0,1,,0.0,5,,,,,3,,41,Female,Professional degree,31,5,1,u1vjsq99,,,,,0
67,sgctwzqv,614a88504af7e43f14e8dd35,0,114,115,dictator,submission_prolific,2022-01-30 21:11:41.014658,1,,,0.0,1,,0.0,5,,,,,5,NO,21,Female,Some College,32,5,1,u1vjsq99,,,,,0
68,4695p78d,5dc1e42d031ed614e11366ee,0,114,115,dictator,submission_prolific,2022-01-30 21:11:42.720740,1,,,0.0,1,,0.0,5,,,,,4,,39,Female,4 Years Degree,33,5,1,u1vjsq99,,,,,0
69,zphsa2rt,5e33837fa617e535a5be85a7,0,114,115,dictator,submission_prolific,2022-01-30 21:11:42.741317,1,,,0.0,2,,0.0,5,,,,8,3,,33,Female,Professional degree,31,5,1,u1vjsq99,,,,,0
70,c172k5kk,5eb5fc1f998c504f09656ba8,0,114,115,dictator,submission_prolific,2022-01-30 21:11:42.904851,1,,,0.0,2,,0.0,5,,,,4,4,,23,Female,2 Years Degree,29,5,1,u1vjsq99,,,,,0
71,sq72vvym,610164f46b97cc39fd1d9a45,0,114,115,dictator,submission_prolific,2022-01-30 21:11:44.274330,1,,,0.0,2,,0.0,5,,,,3,4,,20,Female,Some College,32,5,1,u1vjsq99,,,,,0
72,tgijg5ml,5e3afde82f2188000aa8e7c9,0,114,115,dictator,submission_prolific,2022-01-30 21:12:13.718790,1,,,0.0,1,,0.0,5,,,,,5,,31,Other,Less than high school,35,5,1,u1vjsq99,,,,,0
73,xp2ef9f9,5e11fc3a76f45086a608f9bd,0,114,115,dictator,submission_prolific,2022-01-30 21:12:19.990666,1,,,0.0,2,,0.0,5,,,,4,4,I don't know what those captchas were about.,42,Female,4 Years Degree,33,5,1,u1vjsq99,,,,,0
74,mq1ozds9,614b831d7edb7798f13d2509,0,114,115,dictator,submission_prolific,2022-01-30 21:13:01.809255,1,,,0.0,1,,0.0,5,,,,,4,I am confused but I had fun,25,Male,Some College,39,5,1,u1vjsq99,,,,,0
75,162eaf0z,5e9ccdb28e7d581f1b4960de,0,114,115,dictator,submission_prolific,2022-01-30 21:13:04.224353,1,,,0.0,1,,0.0,5,,,,,4,"honestly dont really understand the purpose of these studies.  like the captcha part was normal, but the whole random you get they get round 2 part ....like what's the point?",42,Male,High school graduate,34,5,1,u1vjsq99,,,,,0
76,ye85pab9,60ac9b8ff8de9f4bdb4dc479,0,114,115,dictator,submission_prolific,2022-01-30 21:13:19.432523,1,,,0.0,1,,0.0,5,,,,,4,Nope,33,Male,2 Years Degree,38,5,1,u1vjsq99,,,,,0
77,nilkzghe,610085d607a6461fceaec758,0,114,115,dictator,submission_prolific,2022-01-30 21:13:20.271708,1,,,0.0,2,,0.0,4,,,,4,4,Last stage was cheeky :),18,Female,Some College,42,4,1,u1vjsq99,,,,,0
78,zkb9d4nr,5a78f57a2a842c0001fc43db,0,114,115,dictator,submission_prolific,2022-01-30 21:13:24.439911,1,,,0.0,1,,0.0,5,,,,,3,,24,Female,Some College,45,5,1,u1vjsq99,,,,,0
79,58f22sq3,6108958e38de9bdc11f444c7,0,114,115,dictator,submission_prolific,2022-01-30 21:13:25.593692,1,,,0.0,2,,0.0,5,,,,10,2,no,54,Female,4 Years Degree,40,5,1,u1vjsq99,,,,,0
80,9w3g9w86,60fe1c304865ae1ed8685dcb,0,114,115,dictator,submission_prolific,2022-01-30 21:13:38.059926,1,,,0.0,2,,0.0,5,,,,3,4,No,21,Female,High school graduate,35,5,1,u1vjsq99,,,,,0
81,1ohwzif5,61317e73d02a20f7faba04ef,0,114,115,dictator,submission_prolific,2022-01-30 21:13:47.594047,1,,,0.0,2,,0.0,4,,,,5,4,,19,Female,2 Years Degree,36,4,1,u1vjsq99,,,,,0
82,w0dpbusd,5f50500950ebb81cfa392427,0,114,115,dictator,submission_prolific,2022-01-30 21:14:03.353058,1,,,0.0,1,,0.0,5,,,,,5,,23,Female,4 Years Degree,41,5,1,u1vjsq99,,,,,0
83,xw1jmxqd,5efd4b214f972918f9f4b827,0,114,115,dictator,submission_prolific,2022-01-30 21:14:16.179304,1,,,0.0,1,,0.0,5,,,,,4,no,37,Female,Professional degree,48,5,1,u1vjsq99,,,,,0
84,7ffn3o2v,6172fa9eaaef2c328108a9b9,0,3,115,start_cont,comprehension_test,2022-01-30 21:14:16.782568,1,,,0.0,52,,0.0,,,,,,,,,,,1,,1,u1vjsq99,,,,,0
85,u2breqye,606b197a43dfda2edcd80803,0,114,115,dictator,submission_prolific,2022-01-30 21:14:25.802456,1,,,0.0,2,,0.0,5,,,,2,4,,27,Male,4 Years Degree,34,5,1,u1vjsq99,,,,,0
86,2fr392sr,6009eee6721c400d92d4cd39,0,64,115,exclusion_control,Introduction,2022-01-30 21:14:34.099033,1,,,0.0,68,,0.0,,,,,,,,,,,1,,1,u1vjsq99,,,,,0
87,lfa4w1er,6111122d4d0fad272b805eba,0,114,115,dictator,submission_prolific,2022-01-30 21:15:10.651510,1,,,0.0,2,,0.0,5,,,,4,4,Thank you!,22,Female,2 Years Degree,38,5,1,u1vjsq99,,,,,0
88,63yhw6d8,5c2cca7e89f035000175b9e6,0,64,115,exclusion_control,Introduction,2022-01-30 21:15:32.617038,1,,,0.0,159,,0.0,,,,,,,,,,,1,,1,u1vjsq99,,,,,0
89,wzpq0c90,5aae3c75fb22320001baa633,0,114,115,dictator,submission_prolific,2022-01-30 21:15:43.313687,1,,,0.0,2,,0.0,5,,,,5,4,,24,Male,4 Years Degree,39,5,1,u1vjsq99,,,,,0
90,qwsxxm9c,5c630bf6787ee80001ffb964,0,114,115,dictator,submission_prolific,2022-01-30 21:15:52.381469,1,,,0.0,1,,0.0,5,,,,,4,None,65,Female,4 Years Degree,55,5,1,u1vjsq99,,,,,0
91,vso4a1cp,6112b77d1b334bdbef0a4e1b,0,114,115,dictator,submission_prolific,2022-01-30 21:15:59.201893,1,,,0.0,1,,0.0,10,,,,,4,THank you!,22,Female,4 Years Degree,53,0,1,u1vjsq99,,,,,0
92,r0s4n8xe,6141658172d1ff08d9a59612,0,114,115,dictator,submission_prolific,2022-01-30 21:15:59.902126,1,,,0.0,2,,0.0,5,,,,10,5,,22,Female,Some College,41,5,1,u1vjsq99,,,,,0
