participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.P1_1,player.P2_1,player.P3_1,player.P4_1,player.benef_2,player.P1_2,player.P2_2,player.P3_2,player.P4_2,player.benef_3,player.P1_3,player.P2_3,player.P3_3,player.P4_3,player.benef_4,player.P1_4,player.P2_4,player.P3_4,player.P4_4,player.benef_5,player.P1_5,player.P2_5,player.P3_5,player.P4_5,player.benef_6,player.P1_6,player.P2_6,player.P3_6,player.P4_6,player.benef_7,player.P1_7,player.P2_7,player.P3_7,player.P4_7,player.benef_8,player.P1_8,player.P2_8,player.P3_8,player.P4_8,player.benef_9,player.P1_9,player.P2_9,player.P3_9,player.P4_9,player.benef_10,player.P1_10,player.P2_10,player.P3_10,player.P4_10,player.benef_11,player.P1_11,player.P2_11,player.P3_11,player.P4_11,player.benef_12,player.P1_12,player.P2_12,player.P3_12,player.P4_12,player.benef_13,player.P1_13,player.P2_13,player.P3_13,player.P4_13,player.benef_14,player.P1_14,player.P2_14,player.P3_14,player.P4_14,player.benef_15,player.P1_15,player.P2_15,player.P3_15,player.P4_15,player.benef_16,player.P1_16,player.P2_16,player.P3_16,player.P4_16,player.benef_17,player.P1_17,player.P2_17,player.P3_17,player.P4_17,player.benef_18,player.P1_18,player.P2_18,player.P3_18,player.P4_18,player.benef_19,player.P1_19,player.P2_19,player.P3_19,player.P4_19,player.benef_20,player.points,player.payoff2,player.first_benef,player.P1_initial,player.P2_initial,player.P3_initial,player.P4_initial,player.first_income,player.number,player.id_group,player.exclusion,player.inclusion,player.own_team,player.other_team,player.fair,player.fair_benef,player.fair_benef_own,player.fair_benef_other,player.rejected,player.happy,player.well_being,player.colour,player.position,player.initial,player.first_role,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vweryeyw,,0,0,115,,,,0,,,0.0,1,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,1,2,,,,,,,,,,,,Green,Non-beneficiary,,,1,1,07z21pup,,,,,1
2,u5kntm9z,,0,0,115,,,,0,,,0.0,2,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,14,,3,0,0,2,0,0,1,3,,,,,,,,,,,,Green,Non-beneficiary,,,1,1,07z21pup,,,,,1
3,gu7recjy,,0,0,115,,,,0,,,0.0,3,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,2,2,,,,,,,,,,,,Purple,Non-beneficiary,,,1,1,07z21pup,,,,,1
4,ij5omhv1,,0,0,115,,,,0,,,0.0,4,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,8,,3,0,0,2,0,2,3,2,,,,,,,,,,,,Green,Beneficiary,,,1,1,07z21pup,,,,,1
5,a7fm4e64,,0,0,115,,,,0,,,0.0,5,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,4,2,,,,,,,,,,,,Purple,Non-beneficiary,,,1,1,07z21pup,,,,,1
6,z6a8nbto,,0,0,115,,,,0,,,0.0,6,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,6,,3,0,0,2,0,0,2,3,,,,,,,,,,,,Purple,Non-beneficiary,,,1,1,07z21pup,,,,,1
7,zz8egb8x,,0,0,115,,,,0,,,0.0,7,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,4,,3,0,0,2,0,2,3,3,,,,,,,,,,,,Green,Beneficiary,,,1,1,07z21pup,,,,,1
8,k0utn9jh,,0,106,115,exclusion_control,survey,2022-01-30 20:13:05.120365,1,,,0.0,8,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,8,,1,2,0,0,0,2,1,4,,,,,,,,,,,,Green,Beneficiary,,,1,1,07z21pup,,,,,1
1,9lysuc4z,60dbe1ade399352be04a652d,0,114,115,dictator,submission_prolific,2022-01-30 20:40:28.840714,1,,,0.0,1,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,1,2,2,2,,,5,5,,,5,5,5,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
2,epz9qpw2,61001400237f51c3662bd5b4,0,114,115,dictator,submission_prolific,2022-01-30 20:40:39.892636,1,,,0.0,2,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,14,,3,0,0,2,0,0,1,3,3,3,,,1,2,,,3,5,5,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
3,yyyq9rfa,5d0ed8b577178a00019f74b3,0,114,115,dictator,submission_prolific,2022-01-30 20:42:04.690406,1,,,0.0,3,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,2,2,1,4,,,5,5,,,5,6,6,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
4,d7xnp6t5,611884342da45986deaa204f,0,114,115,dictator,submission_prolific,2022-01-30 20:42:18.059383,1,,,0.0,4,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,8,,3,0,0,2,0,2,3,2,3,3,,,4,4,,,4,5,5,Green,Beneficiary,,,1,1,u1vjsq99,,,,,0
5,u2dd80fq,60fdec362993efac7a618dfd,0,114,115,dictator,submission_prolific,2022-01-30 20:42:20.631104,1,,,0.0,5,,0.0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,3,0,0,2,0,0,4,2,3,4,,,4,3,,,3,8,6,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
6,mezy12y5,5dd8da70fef7c2880a12500d,0,114,115,dictator,submission_prolific,2022-01-30 20:42:30.130592,1,,,0.0,6,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,6,,3,0,0,2,0,0,2,3,2,4,,,2,2,,,3,5,5,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
7,fmuz0364,5f21d6bc44cf1215fed5e534,0,114,115,dictator,submission_prolific,2022-01-30 20:42:58.116670,1,,,0.0,7,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,4,,3,0,0,2,0,2,3,3,2,3,,,3,2,,,2,5,5,Green,Beneficiary,,,1,1,u1vjsq99,,,,,0
8,7i1od4t4,60fda965a6b7be7629d0be00,0,114,115,dictator,submission_prolific,2022-01-30 20:44:52.001016,1,,,0.0,8,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,8,,1,2,0,0,0,2,1,4,2,4,,,5,3,,,5,8,8,Green,Beneficiary,,,1,1,u1vjsq99,,,,,0
9,melllt1p,614df85d8603811e25e84d17,0,114,115,dictator,submission_prolific,2022-01-30 20:47:27.090979,1,,,0.0,9,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,10,,1,2,0,0,0,0,2,4,2,3,,,4,5,,,4,6,7,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
10,23djgpyb,5df5b73cd52c7b4021e0d0b6,0,114,115,dictator,submission_prolific,2022-01-30 20:47:35.325489,1,,,0.0,10,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,1,2,0,0,0,0,2,5,2,4,,,5,4,,,4,9,5,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
11,syc2p64f,5ec37264194de71cb7b82637,0,114,115,dictator,submission_prolific,2022-01-30 20:49:51.677477,1,,,0.0,11,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,1,2,0,0,0,0,3,5,2,4,,,4,3,,,3,6,6,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
12,f7wqi71j,60ceac2e9edfbb89436f4867,0,114,115,dictator,submission_prolific,2022-01-30 20:50:27.972537,1,,,0.0,12,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,1,0,0,0,1,0,0,0,1,4,14,,3,0,0,2,0,0,4,3,2,4,,,1,1,,,4,8,6,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
13,xizqn3yh,6151d7e5e542dc73b5eaf5db,0,114,115,dictator,submission_prolific,2022-01-30 20:50:46.792181,1,,,0.0,13,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,10,,1,2,0,0,0,0,3,4,4,2,,,5,3,,,4,8,6,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
14,a73utlnu,60ff82acec6d7fc4c4a08769,0,114,115,dictator,submission_prolific,2022-01-30 20:51:09.795998,1,,,0.0,14,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,10,,1,2,0,0,0,0,4,4,2,4,,,4,4,,,3,3,5,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
15,rt8f0vwk,60fe2062f9a27921e0cf4211,0,114,115,dictator,submission_prolific,2022-01-30 20:52:32.270000,1,,,0.0,15,,0.0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,1,0,3,0,0,0,1,4,1,0,0,0,1,10,,1,2,0,0,0,0,4,5,5,1,,,4,4,,,4,8,9,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
16,qxuiafjt,60fdbda119f6fbee6e8116a6,0,114,115,dictator,submission_prolific,2022-01-30 20:53:04.037556,1,,,0.0,16,,0.0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,12,,3,0,0,2,0,0,1,6,1,4,,,4,4,,,4,7,7,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
17,8ulgl0uw,60fdd47cb6da7411e888e23c,0,114,115,dictator,submission_prolific,2022-01-30 20:53:31.161507,1,,,0.0,17,,0.0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,6,,3,0,0,2,0,2,3,6,1,1,,,3,1,,,2,2,5,Green,Beneficiary,,,1,1,u1vjsq99,,,,,0
18,n0y8c438,5d9bdc6ff7bd5b001547ec77,0,114,115,dictator,submission_prolific,2022-01-30 20:54:22.328542,1,,,0.0,18,,0.0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,0,0,1,4,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,3,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,10,,3,0,0,2,0,0,4,6,3,4,,,2,2,,,4,5,3,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
19,5esw5c85,60fccf14ec98489192e54358,0,114,115,dictator,submission_prolific,2022-01-30 20:55:52.086403,1,,,0.0,19,,0.0,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,8,,2,0,2,0,0,2,2,7,3,4,,,2,2,,,4,4,4,Purple,Beneficiary,,,1,1,u1vjsq99,,,,,0
20,wxuk38yg,5b2914d57f78160001466c01,0,114,115,dictator,submission_prolific,2022-01-30 20:56:17.155890,1,,,0.0,20,,0.0,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,1,0,3,8,,1,2,0,0,0,2,1,8,2,4,,,4,4,,,4,6,5,Green,Beneficiary,,,1,1,u1vjsq99,,,,,0
21,hhie4d2n,614f7e1c941fd499dd553fd1,0,114,115,dictator,submission_prolific,2022-01-30 20:56:46.088334,1,,,0.0,21,,0.0,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,1,0,0,2,12,,2,0,2,0,0,0,3,7,2,4,,,3,3,,,5,3,5,Green,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
22,agkskiev,5c994ca30225a000167bd288,0,114,115,dictator,submission_prolific,2022-01-30 20:57:26.242572,1,,,0.0,22,,0.0,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,2,0,0,0,1,4,0,0,1,0,3,0,0,0,1,4,0,1,0,0,2,0,0,0,1,4,1,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,3,0,1,0,0,2,0,0,1,0,3,10,,1,2,0,0,0,0,2,8,1,4,,,5,4,,,4,6,5,Purple,Non-beneficiary,,,1,1,u1vjsq99,,,,,0
